file;title_en;type_en;text_en;title_fr;type_fr;text_fr
../TacticsCards/ASH WASTE NOMADS/Numbers without End.png;Numbers without End;Ash Waste Nomads Tactics;"Play this gang tactic during any End phase,
before your opponent makes any Recovery tests.
You may return to play D3 sendy Gangers /
/Juves that have been taken Out of Action but
did not suffer a Memorable Death result on the
Lasting Injury table by placing them in your
gang’s deployment zone. These fighters retain
any injuries suffered for going Out of Action
but discard any Flesh Wounds.";Sans fin;Clans nomades;Jouez cette tactique de gang pendant n'importe quelle phase de fin, avant que votre adversaire n'effectue un test de récupération. Vous pouvez faire revenir à D3 Gangers /Juves qui ont été mis hors de combat sans subir de résultat de mort mémorable en les plaçant dans la zone de déploiement du gang. Ces combattants conservent toute séquelle subie suite à une mise hors combat mais retire toutes les blessures légères.
../TacticsCards/ASH WASTE NOMADS/Overcharge!.png;Overcharge!;Ash Waste Nomads Tactics;"Play this gang tactic when a friendly fighter
makes a ranged attack before rolling the dice.
For the duration of this attack, the Shock trait
activates on a Hit roll of 5+ instead of 6+.";Surcharge !;Clans nomades;Jouez à cette tactique de gang lorsqu'un combattant amical effectue une attaque à distance avant de lancer les dés. Pendant toute la durée de cette attaque, le trait Choc s'active sur un jet de Touche de 5+ au lieu de 6+.
../TacticsCards/ASH WASTE NOMADS/Raiders without Equal.png;Raiders without Equal;Ash Waste Nomads Tactics;"Play this gang tactic during the Wrap-up phase
of the post-battle sequence.

Add D3x10 credits to your gang's Stash for each
enemy vehicle that was Wrecked during the battl";Pillards sans égal;Clans nomades;Jouez cette tactique de gang pendant la phase de wrap-up durant la séquence d’après-bataille. Ajoutez D3x10 crédits à la réserve de votre gang pour chaque véhicule ennemi qui a été détruit pendant la bataille
../TacticsCards/ASH WASTE NOMADS/Secret Paths.png;Secret Paths;Ash Waste Nomads Tactics;"Play this gang tactic during any Rolling Roads
phase of a Rolling Roads battle before checking
to see if models rejoin the battle.

For the duration of this round, friendly fighters
can attempt to rejoin the battle regardless of their
Movement characteristic. If the scenario being
played does not use the Rolling Roads rules, you
may discard this gang tactic and select another.";Chemins secrets;Clans nomades;Jouez cette tactique pendant la phase de rolling road d'une bataille Rolling Roads avant de faire le jet permettant de savoir si les figurines rejoignent la bataille. Pendant toute la durée de ce round, des combattants alliés peuvent tenter de rejoindre la bataille quel que soit leur caractéristique du mouvement. Si le scénario joué n'utilise pas les règles de Rolling Roads, vous pouvez abandonner cette tactique de gang et en choisir une autre.
../TacticsCards/ASH WASTE NOMADS/Spineroach Venom.png;Spineroach Venom;Ash Waste Nomads Tactics;"Play this gang tactic when a friendly fighter
makes a close combat attack before rolling the
dice.

For the duration of this attack, one of the
fighter's weapons with the Melee trait gains the
Toxin trait.";Venin de Spineroach;Clans nomades;Jouez à cette tactique de gang lorsqu'un combattant allié effectue une attaque de combat rapproché, avant de lancer le dés. Pendant toute la durée de cette attaque, l'une des armes du combattant avec le trait Mêlée gagnent le trait de toxine.
../TacticsCards/ASH WASTE NOMADS/Survival Suits.png;Survival Suits;Ash Waste Nomads Tactics;"Play this gang tactic at the start of the battle,
after both sides have deployed, but before the
first round.

For the duration of this battle, D3 friendly
fighters of your choice in your starting crew

are immune to the effects of the Rad-phage trait.";Combinaisons de survie;Clans nomades;Jouez cette tactique de gang au début de la bataille, après que les deux camps se soient déployés, mais avant le premier tour. Pendant toute la durée de cette bataille, D3 combattants allié de votre choix de votre équipe de départ sont immunisés contre les effets du trait Rad-phage.
../TacticsCards/ASH WASTE NOMADS/War of Attrition.png;War of Attrition;Ash Waste Nomads Tactics;"Play this gang tactic during the Wrap-up phase
of the post-battle sequence.

If your gang has fewer fighters taken Out of
Action than the opposing gang, your gang gains
D3 Reputation.";Guerre d'usure;Clans nomades;Jouez cette tactique de gang pendant la phase de wrap-up de la séquence d’après-bataille. Si votre gang a moins de combattants hors de combats que le gang adverse, votre gang gagne D3 Réputation.
../TacticsCards/ASH WASTE NOMADS/Will-o’-the-Wastes.png;Will-o'-the-Wastes;Ash Waste Nomads Tactics;"Play this gang tactic at the start of the battle,
after both sides have deployed, but before the
first round.

For the duration of this battle, D3 friendly
fighters of your choice in your starting crew gain
the Dodge skill.";Feu follet des Désolations;Clans nomades;Jouez cette tactique de gang au début de la bataille, après que les deux camps se sont déployés, mais avant le premier round. Pendant toute la durée de cette bataille, D3 combattants alliés de votre équipe de départ gagnent la compétence Esquive.
../TacticsCards/ASH WASTES/Always Carry a Spare.png;Always Carry a Spare;Ash Wastes Tactics;"Play this tactic when activating a friendly model
with a weapon that is Out of Ammo.

One of the model's weapons is automatically
reloaded at the cost of one action - no Ammo
check is required,";Ayez toujours une pièce de rechange;Désolations cendrées;Jouez cette tactique lors de l'activation d'un figurine alliée avec une arme à court de munitions. L'une des armes du modèle est automatiquement rechargé au prix d'une action - Aucun test de munitions n’est requis
../TacticsCards/ASH WASTES/Back to the Fray!.png;Back to the Fray!;Ash Wastes Tactics;"Play this tactic when checking to see if a friendly
model rejoins the fight in a Rolling Roads
scenario, before rolling the dice.

The model automatically passes the Intelligence
check to rejoin the battle.";Retour à la mêlée !;Désolations cendrées;Jouez cette tactique lorsque vous vérifiez si un figurine alliée rejoint le combat dans un Rolling Roads scénario, avant de lancer les dés. La figurine réussit automatiquement le test d'Intelligence pour rejoindre la bataille.
../TacticsCards/ASH WASTES/Belching Smoke.png;Belching Smoke;Ash Wastes Tactics;"Play this tactic at the start of around, before
rolling for Initiative.

Pick a friendly vehicle, all shooting attacks made
by it or targeting it suffer a -1 modifier to hit
rolls,";Fumée éructante;Désolations cendrées;Jouez cette tactique au début du round, avant lancer pour l’Initiative. Choisissez un véhicule allié, toutes les attaques de tir effectuées par lui ou en le ciblant subissent un malus de -1 pour toucher
../TacticsCards/ASH WASTES/Born to the Wastes.png;Born to the Wastes;Ash Wastes Tactics;"Play this tactic when activating a friendly model.
The model treats both difficult terrain and
dangerous terrain as open ground.";Né dans les Désolations;Désolations cendrées;Jouez cette tactique lors de l’activation d’une figurine alliée. La figurine traite à la fois les terrains difficiles et terrain dangereux comme terrain découvert.
../TacticsCards/ASH WASTES/Full Nitro.png;Full Nitro;Ash Wastes Tactics;"Play this tactic when activating a friendly vehicle.
For the duration of this activation, increase its
Movement characteristic by 2"".";Plein nitro;Désolations cendrées;"Jouez cette tactique lors de l’activation d’un véhicule allié. Pendant la durée de cette activation, augmentez sa caractéristique de mouvement de 2""."
../TacticsCards/ASH WASTES/Gunk Spill.png;Gunk Spill;Ash Wastes Tactics;"Play this tactic when an enemy vehicle moves
within 2"" of a friendly vehicle's rear arc.

The coe vehicle must immediately make

a Loss of Control test with a -2 modifier.";Déversement de crasse;Désolations cendrées;"Jouez cette tactique lorsqu'un véhicule ennemi se déplace à moins de 2"" de l'arc arrière d'un véhicule allié. Ce véhicule ennemi doit immédiatement faire un test de perte de contrôle avec un modificateur de -2."
../TacticsCards/ASH WASTES/Hidden in the Ash.png;Hidden in the Ash;Ash Wastes Tactics;"Play this tactic at the start of the battle before
deploying gangs.
D3 of your fighters gain the Infiltrate skill.";Caché dans les cendres;Désolations cendrées;Jouez cette tactique au début de la bataille avant déployer des gangs. D3 de vos combattants acquièrent la compétence Infiltration.
../TacticsCards/ASH WASTES/It'll Hold!.png;It'll Hold!;Ash Wastes Tactics;"Play this tactic when a friendly vehicle loses a HP
The vehicle loses one less HP.";Ça tiendra !;Désolations cendrées;Jouez cette tactique lorsqu'un véhicule allié perd un PV. Le véhicule perd un PV de moins.
../TacticsCards/ASH WASTES/Lightning Strike.png;Lightning Strike;Ash Wastes Tactics;"Play this tactic when a friendly fighter subject to
the Mounted condition makes a Ride By attack
before resolving Reaction attacks.

Any Reaction attacks have a -1 modifier to hit.";Coup de foudre;Désolations cendrées;Jouez cette tactique lorsqu'un combattant allié Monté effectue une attaque Ride By, avant de résoudre les attaques de réaction. Toutes les attaques de réaction ont un modificateur de -1 pour toucher.
../TacticsCards/ASH WASTES/Look Out Below!.png;Look Out Below!;Ash Wastes Tactics;"Play this tactic when a friendly fighter is jumping
from one vehicle to another.
Add 1 to the Agility test to make the jump.";Attention en dessous !;Désolations cendrées;Jouez cette tactique lorsqu'un combattant allié saute d'un véhicule à l'autre. Ajoutez 1 au test d'Agilité pour faire le saut.
../TacticsCards/ASH WASTES/Mad Mechanics.png;Mad Mechanics;Ash Wastes Tactics;"Play this tactic when a friendly vehicle is
Wrecked, before rolling on the Lasting Damage
table.

Roll twice on the Lasting Damage table and
choose which result to apply.";Mécanos déments;Désolations cendrées;Jouez cette tactique lorsqu'un véhicule allié est détruit, avant de lancer sur les dégâts durables tableau. Lancez deux fois sur le tableau des dégâts durables et choisissez le résultat à appliquer.
../TacticsCards/ASH WASTES/Mag Lock Handholds.png;Mag Lock Handholds;Ash Wastes Tactics;"Play this tactic at the start of the battle, after
gangs are deployed but before the first roll for
Initiative.

Select two friendly fighters, they both
automatically pass all Initiative checks to remain
on a vehicle when it moves.";Poignées magnétiques;Désolations cendrées;Jouez cette tactique au début de la bataille, après les gangs sont déployés mais avant le premier jet de Initiative. Choisissez deux combattants alliés, ils réussiront automatiquement tous les tests d'initiative pour rester sur un véhicule lorsqu'il se déplace.
../TacticsCards/ASH WASTES/Nitro Cells Overload!.png;Nitro Cells Overload!;Ash Wastes Tactics;"Play this tactic when a friendly vehicle is
Wrecked, before rolling on the Lasting Damage
table.

Place the 5"" Blast template so that its central
hole is entirely over the vehicle. All models
touched by the template take a Strength 4, AP -1,
Damage | hit.";Surcharge des cellules nitro !;Désolations cendrées;"Jouez cette tactique lorsqu'un véhicule allié est détruit, avant de lancer sur les dégâts durables tableau. Placez le gabarit Blast 5"" de manière à ce que sa partie centrale soit entièrement au-dessus du véhicule. Toutes les figurines touchées par le gabarit subissent une touche Force 4, AP -1"
../TacticsCards/ASH WASTES/One with the Road.png;One with the Road;Ash Wastes Tactics;"Play this tactic when a friendly vehicle needs to
make a Loss of Control test, before any dice are
rolled.

The vehicle automatically passes the Loss of
Control test.";Faire corps avec la route;Désolations cendrées;Jouez cette tactique lorsqu’un véhicule allié doit effectuer un test de Perte de contrôle, avant de lancer les dés. Le véhicule réussit automatiquement le test de Perte de contrôle.
../TacticsCards/ASH WASTES/Ramming Speed!.png;Ramming Speed!;Ash Wastes Tactics;"Play this tactic after a friendly vehicle has had

a head-on collision with an enemy vehicle, before
determining the Strength of the hit.

Increase the Strength, AP and Damage of the hit
suffered by the enemy vehicle by 1.";Vitesse d’éperonnage !;Désolations cendrées;Jouez cette tactique après qu'un véhicule allié ait eu une collision frontale avec un véhicule ennemi, avant déterminer la force du coup. Augmente la Force, les AP et les Dégâts du coup subi par le véhicule ennemi de 1.
../TacticsCards/ASH WASTES/Spring Back.png;Spring Back;Ash Wastes Tactics;"Play this card when activating a friendly fighter
with the Mounted condition who is Prone and
Pinned.

The fighter becomes Standing and Active at the
cost of one action - no Agility test is required.";Rétablissement;Désolations cendrées;Jouez cette carte lors de l'activation d'un combattant allié Montée qui est À Terre et Cloué. Le combattant devient Debout et Actif au coût d'une action - aucun test d'Agilité n'est requis.
../TacticsCards/ASH WASTES/Survival Gear.png;Survival Gear;Ash Wastes Tactics;"Play this tactic after gangs have deployed but
before the first round begins.
D3 fighters gain the benefits of a Respirator.";Équipement de survie;Désolations cendrées;Utilisez cette tactique après le déploiement des gangs, mais avant le début du premier tour. D3 combattants bénéficient des avantages d'un respirateur.
../TacticsCards/ASH WASTES/The Ash is in my Blood.png;The Ash is in my Blood;Ash Wastes Tactics;"Play this tactic at the start of the battle, after
gangs have deployed but before the first round
begins.

D3 models ignore the effects of the Battlefield
Surface.";La cendre coule dans mon sang;Désolations cendrées;Jouez cette tactique au début de la bataille, après les gangs soient déployés mais avant que le premier tour commence. D3 figurines ignorent les effets du champ de bataille.
../TacticsCards/CAWDOR/Apostates (redacted).png;Apostates;Cawdor Tactics;"Play at the start of the Deployment step of the Pre-
battle sequence, before deploying fighters. You may
recruit up to three Bonepickers for free. They'll leave
the gang after this battle. Each has a fighting knife
ana ah ee a reclaimed autopistol or a cleaver. They're
taken in addition to your starting crew and don't
count towards your max Crew sise. If, during

the End phase of any round, such Bonepicker isn't
within 6"" of a friendly Cawdor Champion er Leader,
it immediately goes OOA. If you lack models,

you may discard this card and select another.";Apostats;Cawdor;"Jouez au début de l’étape de Déploiement de la séquence Pré-bataille, avant de déployer les combattants. Vous pouvez recruter gratuitement jusqu’à trois Bonepickers. Ils quitteront le gang après cette bataille. Chacun possède un couteau de combat et un couperet et un pistolet automatique récupéré. Ils sont recrutés en plus de votre équipage de départ et ne comptent pas dans la taille maximale de votre équipe. Si, pendant la phase de Fin d’un round, l’un de ces Bonepickers n’est pas à 6"" ou moins d’un Champion ou Leader Cawdor allié, il est immédiatement mis Hors de combat."
../TacticsCards/CAWDOR/Blessed Visions.png;Blessed Visions;Cawdor Tactics;"| Play at the start of the game after both sides
have deployed.

For the duration of the game, the gang’s |
fighters may use their normal BS when
making Blind Fire ranged attacks or ranged
attack through Ductways.";Visions bénies;Cawdor;Jouer en début de partie après que les deux gangs soient déployés. Pendant toute la durée de la partie, les combattants alliés peuvent utiliser leur BS normal lorsque effectuer des attaques à distance Blind Fire ou à travers les conduits.
../TacticsCards/CAWDOR/Call the Faithful.png;Call the Faithful;Cawdor Tactics;"| Play this card after both sides have deployed.
You may add an extra D3 fighters to your
crew (potentially exceeding the normal crew |
size for the scenario). These fighters must

be chosen randomly from any fighters not
already included in your crew.";Appel aux fidèles;Cawdor;Jouez cette carte une fois que les deux camps se sont déployés. Vous pouvez ajouter un combattant D3 supplémentaire à votre équipe (dépassant potentiellement la taille pour le scénario). Ces combattants doivent être choisi au hasard parmi tous les combattants non déjà inclus dans votre équipage.
../TacticsCards/CAWDOR/Deadmen Walking.png;Deadmen Walking;Cawdor Tactics;"Play at the start of any End phase. |
If your gang is required to make a Bottle test |
during this End phase, it will |
automatically pass.";Morts en marche;Cawdor;Jouez au début d’une phase de Fin. Si votre gang doit faire un test de cran au cours de cette phase de fin, le test passe automatiquement.
../TacticsCards/CAWDOR/Divine Avatar (redacted).png;Divine Avatar;Cawdor Tactics;"Play at the start of the Deployment step of the
Pre-battle sequence, before any fighters have
been deployed. Choose a friendly House Cawdor
Champion or Leader. Until the end of this battle,
they gain the Terrifying special rule: Enemy
Fighters must make a Willpower check before
performing a Fight (Basic) or Shoot (Basic) action
that targets this fighter. If they fail, they can't perform
the action and their action ends. If, at any span, the
chosen fighter is Seriously Injured, this card has no
effect for the rest of the battle.";Avatar divin;Cawdor;Jouez au début de l'étape de déploiement de la Séquence pré-bataille, avant que les combattants n'aient été déployé. Choisissez un Champion ou Leader Cawdor. Jusqu'à la fin de cette bataille, ils gagnent la règle Terrifiant. Si, à un moment donné, le combattant choisi est gravement blessé, cette carte n'a plus d’effet pour le reste de la bataille.
../TacticsCards/CAWDOR/Divine Guidance.png;Divine Guidance;Cawdor Tactics;"Play this gang tactic when activating a friendly
House Cawdor fighter.

Until the end of the fighter's activation, this
fighter may re-roll dice rolls of a natural 1.";Guidance divine;Cawdor;Jouez cette tactique de gang lors de l'activation d'un combattant Cawdor allié. Jusqu'à la fin de l'activation du combattant, ce Le combattant peut relancer les jets de dés d’un 1 naturel.
../TacticsCards/CAWDOR/Divine Motivation.png;Divine Motivation;Cawdor Tactics;"Play at the start of the game after both sides have
deployed.

For the duration of the battle, the gang's Leader
adds 2 to the dice roll for any Cool checks they
are required to take. If the leader is taken Out of
Action, all friendly fighters must make an
immediate Cool check or become Broken.";Motivation divine;Cawdor;Jouez au début de la partie une fois que les deux équipes sont déployées. Pendant toute la durée de la bataille, le chef du gang ajoute 2 au jet de dés pour tous les tests de Cool. Si le leader est mis hors combat, tous les combattants alliés doivent faire un test de Cool ou devenir Broken.
../TacticsCards/CAWDOR/Effigy of the Damned.png;Effigy of the Damned;Cawdor Tactics;"Play at the start of any turn.

Choose a terrain feature at least 6"" in diameter or
a board tile. For the duration of this turn, any
models entering or beginning their turns in the
affected area must roll to see if they catch fire,
just as if they had been hit by a weapon with the
Blaze trait";Effigie des damnés;Cawdor;"Jouez au début d’un tour. Choisissez un élément de terrain d'au moins 6"" de diamètre ou une tuile de plateau. Pendant toute la durée de ce tour, les figurines entrant ou commençant leur tour dans le la zone affectée doivent jeter un dé pour voir si elle prennent feu, comme si elles avaient été touchées par une arme avec le Trait feu"
../TacticsCards/CAWDOR/Faith Through Fear.png;Faith Through Fear;Cawdor Tactics;"Play this card when a fighter fails a Cool |
check.

Instead of suffering the normal effects |
of failing a Cool check, the fighter
immediately charges the nearest enemy
model. If there are no enemy models in |
range, they become Pinned. |";La foi à travers la peur;Cawdor;Jouez cette carte lorsqu'un combattant échoue à un test de Cool. Au lieu de subir les effets normaux d'avoir échoué à un test de Cool, le combattant charge immédiatement l'ennemi le plus proche. S'il n'y a aucune figurine ennemie dans portée, ils deviennent Cloué.
../TacticsCards/CAWDOR/Faith Through Fire.png;Faith Through Fire;Cawdor Tactics;"| Play at the start of any round.

|

For the duration of this round, friendly

models with a Blaze marker on them may

move and take actions as normal - though
they still take damage as normal. In addition,

| all their melee attacks gain the Blaze trait.

|";La foi par le feu;Cawdor;Jouez au début d’un round. Pendant toute la durée de ce round, les figurines alliées portant un marqueur Blaze peuvent se déplacer et agir normalement. Elles subissent toutefois toujours les dégâts normalement. De plus, toutes leurs attaques de mêlée gagnent le trait Blaze.
../TacticsCards/CAWDOR/Faithful Masses.png;Faithful Masses;Cawdor Tactics;"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, Faith dice are added
to the crew's Faith dice pool on a roll of a 4+,
rather than the usual roll of 5 or 6.";Masses de fidèles;Cawdor;Jouez cette tactique de gang pendant la phase de Priorité d’un tour, après le lancer de priorité, mais avant l’activation des combattants. Jusqu'à la fin de ce tour, les dés de Foi sont ajoutés à la réserve de l'équipe sur un résultat de 4+, plutôt que le résultat habituel de 5 ou 6.
../TacticsCards/CAWDOR/Faithful and Resolved.png;Faithful and Resolved;Cawdor Tactics;"Play this gang tactic when activating a friendly
fighter.

The fighter may immediately perform

a Universal Article of Faith; no Faith dice are
rolled and the Threshold test is automatically
passed.";Fidèles et résolus;Cawdor;"Jouez cette tactique de gang lors de l'activation d'un combattant allié. Le combattant peut immédiatement effectuer un article de foi; aucun dé de foi n'est lancé et le test est automatiquement réussi."
../TacticsCards/CAWDOR/Fire and Zeal.png;Fire and Zeal;Cawdor Tactics;"Play this gang tactic when activating a friendly
fighter.

Until the start of their next activation, this
fighter becomes subject to the Insane condition.
In addition, the fighter immediately makes

a free Shoot (Basic) action with an incendiary
charge; this attack is made even if the es is
not equipped with incendiary a ae e Blast
marker must be centred on this fighter and does
not scatter.";Feu et zèle;Cawdor;"Jouez cette tactique de gang lors de l'activation d'un combattant allié. Jusqu'au début de sa prochaine activation, ce le combattant devient soumis à la condition Insane. De plus, le combattant fait immédiatement une action Tir (Basique) gratuite avec une charge incendiaire; cette attaque est faite même si le combattant n’est pas équipé d’une charge incendiaire ; le marqueur Blast doit être centré sur ce combattant et ne dévie pas"
../TacticsCards/CAWDOR/Followers of the Path.png;Followers of the Path;Cawdor Tactics;"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, you may apply a +1
modifier to any Threshold test made when
attempting to perform an Article of Faith.";Les adeptes du chemin;Cawdor;Jouez cette tactique pendant la phase de Priorité d’un tour, après le lancer de priorité, mais avant l’activation des combattants. Jusqu'à la fin de ce tour, vous pouvez appliquer un +1 modificateur à tout test effectué pour tenter d'exécuter un article de foi.
../TacticsCards/CAWDOR/For The Lost.png;for The Lost!;Cawdor Tactics;"| Play at the start of any round.

For every friendly model that has been taken
Out of Action in the battle so far, one chosen
Champion or Leader can add +1 to their
Strength and Attacks characteristic, to

a maximum of +3. These effects last until
the end of the round.";Pour les Perdus !;Cawdor;Jouez au début d’un tour. Pour chaque figurine alliée qui a été mise Hors de combat dans la bataille jusqu'à présent, un Champion ou le Leader peut ajouter +1 à sa caractéristique de Force et d'attaques, jusque’à un maximum de +3. Ces effets durent jusqu'à la fin du round.
../TacticsCards/CAWDOR/Keeper of Sacred Vermin.png;Keeper of Sacred Vermin;Cawdor Tactics;"Play this gang tactic when a friendly House
Cawdor fighter deploys a bomb delivery rat.
This fighter automatically passes their
Intelligence check and may choose the direction
in which the rat moves.";Gardien de la vermine sacrée;Cawdor;Jouez cette tactique lorsqu’un combattant Cawdor déploie un rat livreur de bombes. Ce combattant réussit automatiquement son test d’Intelligence et peut choisir la direction dans lequel le rat se déplace.
../TacticsCards/CAWDOR/Let It Burn!.png;Let It Burn!;Cawdor Tactics;"| Play at the start of any round.

For the duration of this round, all ranged
weapons used by friendly models gain |
the Blaze trait.";Que ça brûle !;Cawdor;Jouez au début d’un tour. Pendant toute la durée de ce tour, toutes les armes à distance utilisées par les figurines alliés gagnent le trait Blaze.
../TacticsCards/CAWDOR/Light of the Emperor.png;Light of the Emperor;Cawdor Tactics;"Play this gang tactic when activating a friendly
fighter.

Place a Divine Brazier (see page 107) within 1""
of the fighter, ensuring that its base is not
overlapping an obstacle or another fighter's base.
This fighter's activation then ends.";Lumière de l'Empereur;Cawdor;"Jouez cette tactique lors de l'activation d'un combattant allié. Placez un Brasero Divin (voir page 107) à moins de 1"" du combattant, en s'assurant que sa base ne chevauche pas un obstacle ou la base d'un autre combattant. L'activation de ce combattant prend alors fin."
../TacticsCards/CAWDOR/No Prisoners!.png;No Prisoners!;Cawdor Tactics;"| Play at the start of any End phase.

For the duration of the End phase, Seriously
Injured enemy models making Recovery |
tests must roll two Injury dice and pick the
worst result.";Pas de prisonniers !;Cawdor;Jouez au début d’une phase de fin. Pendant toute la durée de la phase de fin, Les figurines ennemies Gravement blessées effectuant un test de récupération doivent lancer deux dés de blessure et choisir le pire résultat.
../TacticsCards/CAWDOR/Preacher Amongst Us.png;Preacher Amongst Us;Cawdor Tactics;"Play this gang tactic at the start of

the Deployment step of the Pre-battle sequence,
before any fighters have been deployed.

Choose a friendly House Cawdor fighter that is
not a Champion or Leader. Until the end of this
battle, that fighter gains the Group Activation (1)
special rule.";Prédicateur parmi nous;Cawdor;Jouez cette tactique au début de l'étape de Déploiement de la séquence Pré-bataille, avant que des combattants aient été déployés. Choisissez un combattant Cawdor allié  qui n’est pas un champion ou un leader. Jusqu'à la fin de ça bataille, ce combattant gagne règle spéciale activation de groupe (1).
