file,title_en,type_en,text_en,title_fr,type_fr,text_fr
../TacticsCards/CAWDOR/Effigy of the Damned.png,Effigy of the Damned,Cawdor Tactics,"Play at the start of any turn.

Choose a terrain feature at least 6"" in diameter or
a board tile. For the duration of this turn, any
models entering or beginning their turns in the
affected area must roll to see if they catch fire,
just as if they had been hit by a weapon with the
Blaze trait",,,
../TacticsCards/CAWDOR/Faith Through Fear.png,Faith Through Fear,Cawdor Tactics,"Play this card when a fighter fails a Cool |
check.

Instead of suffering the normal effects |
of failing a Cool check, the fighter
immediately charges the nearest enemy
model. If there are no enemy models in |
range, they become Pinned. |",,,
../TacticsCards/CAWDOR/Faith Through Fire.png,Faith Through Fire,Cawdor Tactics,"| Play at the start of any round.

|

For the duration of this round, friendly

models with a Blaze marker on them may

move and take actions as normal - though
they still take damage as normal. In addition,

| all their melee attacks gain the Blaze trait.

|",,,
../TacticsCards/CAWDOR/Faithful Masses.png,Faithful Masses,Cawdor Tactics,"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, Faith dice are added
to the crew's Faith dice pool on a roll of a 4+,
rather than the usual roll of 5 or 6.",,,
../TacticsCards/CAWDOR/Faithful and Resolved.png,Faithful and Resolved,Cawdor Tactics,"Play this gang tactic when activating a friendly
fighter.

The fighter may immediately perform

a Universal Article of Faith; no Faith dice are
rolled and the Threshold test is automatically
passed.",,,
../TacticsCards/CAWDOR/Fire and Zeal.png,Fire and Zeal,Cawdor Tactics,"Play this gang tactic when activating a friendly
fighter.

Until the start of their next activation, this
fighter becomes subject to the Insane condition.
In addition, the fighter immediately makes

a free Shoot (Basic) action with an incendiary
charge; this attack is made even if the es is
not equipped with incendiary a ae e Blast
marker must be centred on this fighter and does
not scatter.",,,
../TacticsCards/CAWDOR/Followers of the Path.png,Followers of the Path,Cawdor Tactics,"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, you may apply a +1
modifier to any Threshold test made when
attempting to perform an Article of Faith.",,,
../TacticsCards/CAWDOR/For The Lost.png,for The Lost!,Cawdor Tactics,"| Play at the start of any round.

For every friendly model that has been taken
Out of Action in the battle so far, one chosen
Champion or Leader can add +1 to their
Strength and Attacks characteristic, to

a maximum of +3. These effects last until
the end of the round.",,,
../TacticsCards/CAWDOR/Keeper of Sacred Vermin.png,Keeper of Sacred Vermin,Cawdor Tactics,"Play this gang tactic when a friendly House
Cawdor fighter deploys a bomb delivery rat.
This fighter automatically passes their
Intelligence check and may choose the direction
in which the rat moves.",,,
../TacticsCards/CAWDOR/Let It Burn!.png,Let It Burn!,Cawdor Tactics,"| Play at the start of any round.

For the duration of this round, all ranged
weapons used by friendly models gain |
the Blaze trait.",,,
../TacticsCards/CAWDOR/Light of the Emperor.png,Light of the Emperor,Cawdor Tactics,"Play this gang tactic when activating a friendly
fighter.

Place a Divine Brazier (see page 107) within 1""
of the fighter, ensuring that its base is not
overlapping an obstacle or another fighter's base.
This fighter's activation then ends.",,,
../TacticsCards/CAWDOR/No Prisoners!.png,No Prisoners!,Cawdor Tactics,"| Play at the start of any End phase.

For the duration of the End phase, Seriously
Injured enemy models making Recovery |
tests must roll two Injury dice and pick the
worst result.",,,
../TacticsCards/CAWDOR/Preacher Amongst Us.png,Preacher Amongst Us,Cawdor Tactics,"Play this gang tactic at the start of

the Deployment step of the Pre-battle sequence,
before any fighters have been deployed.

Choose a friendly House Cawdor fighter that is
not a Champion or Leader. Until the end of this
battle, that fighter gains the Group Activation (1)
special rule.",,,
../TacticsCards/CAWDOR/Purification Through Blood.png,Purification Through Blood,Cawdor Tactics,"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Choose a friendly House Cawdor Champion or
Leader. Until the end of this round, friendly
fighters that are within 6"" of this fighter and can
draw line of sight to them improve both their
WS and A characteristics by 1.",,,
../TacticsCards/CAWDOR/Purity Through Fire.png,Purity Through Fire,Cawdor Tactics,"Play this gang tactic when a friendly House
Cawdor fighter makes a Shoot (Basic) or Fight
(Basic) action using a weapon with the Blaze trait
Until the end of the fighter's activation, hit
targets become subject to the Blaze condition on
a 2+, rather than the usual 4+.",,,
../TacticsCards/CAWDOR/Redemption.png,| Redemption,Cawdor Tactics,"| Play when a friendly fighter is taken Out of
Action.

Centre the 3” Blast marker on the fighter |
that has just been taken Out of Action. All
models under the marker count as being hit
by a frag grenade.",,,
../TacticsCards/CAWDOR/Reformation.png,Reformation,Cawdor Tactics,"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, friendly House
Cawdor fighters may perform Articles of Faith
chosen from a Path their gang does not follow.
If, however, your gang follows no particular
Path, discard this gang tactic and select another.",,,
../TacticsCards/CAWDOR/Righteous Day.png,Righteous Day,Cawdor Tactics,"Play at the start of any round.

For the duration of the round, all successful
wound rolls made against friendly fighter must
be re-rolled. However, friendly fighters not
engaged in melee must charge the nearest enemy
model if possible, or use their entire

activation to move as close to the enemy as
possible.",,,
../TacticsCards/CAWDOR/Rise Anew.png,Rise Anew,Cawdor Tactics,"Play this gang tactic when activating a Seriously
Injured friendly fighter.

This Fgh tes regains a single Wound and is no
longer Seriously Injured; instead the fighter
becomes Standing and Active. This fighter's
activation then ends.",,,
../TacticsCards/CAWDOR/Shielded by Faith.png,Shielded by Faith,Cawdor Tactics,"Play this gang tactic when a friendly House
Cawdor fighter is hit by a Blast weapon.

Roll a D6. On a 2+, the hit has no effect against
the chosen fighter. On a 1, they are affected as
normal but this gang tactic is not discarded.",,,
../TacticsCards/CAWDOR/Stirring Oration.png,Stirring Oration,Cawdor Tactics,"Play at the start of any round.

Choose one fen Leader or Champion model.
For the duration of the round, the Leading by
Example rule applies as long as the fighter can
draw line of sight to the chosen model. For this
round, the chosen Leader or Champion cannot
benefit from the effects of cover.",,,
../TacticsCards/CAWDOR/The Emperor Protects (redacted).png,The Emperor Protects,Cawdor Tactics,"Play this card during the Priority phase of

any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, all friendly House
Cawdor fighters gain a 5+ save roll that cannot
be modified in any way. However, if a fighter
attempts to use this save but the roll is failed, any
Injury dice that are subsequently rolled treat rolls
of Seriously Injured as Out of Action. A House
Cawdor fighter can choose not to make this save.",,,
../TacticsCards/CAWDOR/The Price of Avarice.png,The Price of Avarice,Cawdor Tactics,"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, any enemy fighters
that are within 4"" of a friendly House Cawdor
fighter must re-roll successful Ammo checks to
see if their weapon goes Out of Ammo (they do
not have to re-roll Ammo checks made as part
of the Reload action).",,,
../TacticsCards/CAWDOR/Unyielding Zeal.png,Unyielding Zeal,Cawdor Tactics,"Play this gang tactic during the Priority phase of
any round, after Roll for Priority, but before
Ready Fighters.

Until the end of this round, every friendly House
Cawdor fighter currently on the battlefield gains
a +2 modifier to any Cool checks they are
required to make.",,,
../TacticsCards/CAWDOR VEHICLES/Armoured by Faith.png,Armoured by Faith,Cawdor Vehicle Tactics,"Play this gang tactic after both gangs have
deployed before the first roll for Priority.
For the duration of the battle, D3 friendly
vehicles increase their Front Toughness by 1.",,,
../TacticsCards/CAWDOR VEHICLES/Beacon of Faith.png,Beacon of Faith,Cawdor Vehicle Tactics,"Play this gang tactic after both gangs have
deployed but before the first roll for Priority.
Select a friendly vehicle.

For the duration of this battle, while this vehicle
is not Wrecked, all friendly models within 9""
may apply a +1 modifier to all Cool checks.",,,
../TacticsCards/CAWDOR VEHICLES/Blessed Dodge.png,Blessed Dodge,Cawdor Vehicle Tactics,"Play this gang tactic when a friendly fighter fails
an Initiative check to avoid being run over by

a vehicle.

The fighter is considered to have passed the
Initiative check.",,,
../TacticsCards/CAWDOR VEHICLES/Cleansed by Fire.png,Cleansed by Fire,Cawdor Vehicle Tactics,"Play this gang tactic when activating a friendly
vehicle, before performing any actions.

The vehicle becomes subject to the Blaze
condition. Until the flames go out, any models
that either start their activation within 1"" or
move within 1"" of this vehicle during their
activation become subject to the Blaze condition
on a D6 roll of 3+.",,,
../TacticsCards/CAWDOR VEHICLES/Doused in Promethium.png,Doused in Promethium,Cawdor Vehicle Tactics,"Play this gang tactic when activating a fighter
subject to the Mounted condition before they
perform any actions.

For the duration of the fighter's activation, one
of their weapons with the Melee trait gains

the Blaze trait.",,,
../TacticsCards/CAWDOR VEHICLES/Fateful Swerve.png,fateful Swerve,Cawdor Vehicle Tactics,"Play this gang tactic when a friendly vehicle
suffers a Penetrating Hit or Catastrophic Hit.
The vehicle suffers a Glancing Hit instead.",,,
../TacticsCards/CAWDOR VEHICLES/Fury of Righteous Convictions.png,Fury of Righteous Convictions,Cawdor Vehicle Tactics,"Play this gang tactic when activating a friendly
fighter subject to the Mounted condition before
performing any actions.

For the duration of their activation, they gain +2
Strength and all of their weapons gain the
Reckless trait.",,,
../TacticsCards/CAWDOR VEHICLES/Incendiary Ram.png,Incendiary Ram,Cawdor Vehicle Tactics,"Play this gang tactic when a friendly vehicle has
a head-on collision during its activation, before
resolving the collision.

Place the 5"" Blast marker in the centre of the
vehicle's front hull. All models under the blast
marker, including the activated model, suffer

a $3, AP-1, D1 hit as if by a weapon with

the Blaze trait. Then resolve the collision
normally.",,,
../TacticsCards/CAWDOR VEHICLES/Joust.png,Joust,Cawdor Vehicle Tactics,"Play this gang tactic when a friendly fighter
subject to the Mounted condition causes
an enemy vehicle to become Wrecked.

The fighter gains an additional D3 XP.",,,
../TacticsCards/CAWDOR VEHICLES/Judgement Due.png,Judgement Due,Cawdor Vehicle Tactics,"Play this gang tactic after both gangs have
deployed, before the first roll for Priority.
Select an enemy vehicle. If it is Wrecked

at the end of the battle, your gang's Leader
gains D3 XP.",,,
../TacticsCards/CAWDOR VEHICLES/Martyrdom.png,| Martyrdom,Cawdor Vehicle Tactics,"Play this gang tactic when a friendly fighter is
taken Out of Action by an enemy model before
rolling on the Lasting Injury table.

Do not roll on the Lasting Injury table - the
fighter automatically suffers the Memorable
Death result. For the remainder of the battle,
all friendly models apply a +1 modifier to any
rolls to wound the enemy model, and friendly
models earn an additional D3 XP if they take
the enemy model Out of Action.",,,
../TacticsCards/CAWDOR VEHICLES/Prayer Wagon.png,Prayer Wagon,Cawdor Vehicle Tactics,"Play this gang tactic after both gangs have
deployed, before the first roll for Priority.

Select a friendly vehicle. For the duration of

the battle it rolls 3 dice to see if it generates Faith
dice.",,,
../TacticsCards/CAWDOR VEHICLES/Pyroclastic Rain.png,Pyroclastic Rain,Cawdor Vehicle Tactics,"Play this gang tactic when activating a friendly
vehicle before performing any actions.

For the duration of this activation, any weapon
with the Blaze and Template traits may place the
template within 6"" instead of in contact with the
weapon so that the narrow end of the template is
closer to the attacking vehicle than the wide end.",,,
../TacticsCards/CAWDOR VEHICLES/Rearm!.png,Rearm!,Cawdor Vehicle Tactics,"Play this gang tactic after resolving an attack
from a weapon with the Lancebomb trait.
The next successful hit from this erpon will
use the Primed profile instead of the Spent
profile.",,,
../TacticsCards/CAWDOR VEHICLES/Scrap Dealers.png,Scrap Dealers,Cawdor Vehicle Tactics,"Play this gang tactic during the post-battle
sequence when making the Negotiate Repairs
post-battle action.

Reduce the cost of repairs by D6x10 credits to
a minimum of 5 credits.",,,
../TacticsCards/CAWDOR VEHICLES/Self Destruct.png,Self Destruct,Cawdor Vehicle Tactics,"Play this gang tactic at any point during

a friendly vehicle's activation.

All models, both friend and foe, within 5"" of
the vehicle suffer a S6, AP-1, D1 hit as if from
a weapon with the Blaze trait. The activated
vehicle is then Wrecked, add 1 to the roll on
the Lasting Damage table.",,,
../TacticsCards/CAWDOR VEHICLES/Weak Spot.png,Weak Spot,Cawdor Vehicle Tactics,"Play this gang tactic before rolling Damage dice.
Roll one additional Damage dice.",,,
../TacticsCards/CAWDOR VEHICLES/Where There’s Scrap....png,Where There’s Scrap...,Cawdor Vehicle Tactics,"Play this gang tactic during the post-battle
sequence during the Receive Rewards step.

Add D3x5 credits to your gang’s Stash for each
Wrecked enemy vehicle and enemy fighter
subject to the Mounted condition who was taken
Out of Action.",,,
../TacticsCards/CORPSE GRINDERS/Blessed by Death.png,Blessed by Death,Corpse Grinders Tactics,"Play this card when a fighter in your gang

takes an enemy fighter Out of Action with

a weapon with a Melee trait.

Tuck this card under the fighter's card; for
the remainder of the battle, the fighter

| gains +1 WS.

|",,,
../TacticsCards/CORPSE GRINDERS/Blood Surge.png,Blood Surge,Corpse Grinders Tactics,"Play this card when a Standing and Active

‘fighter in your gang is hit by a ranged attack.

|

|The fighter does not become Pinned. |

Instead they may immediately make a Move
(Simple) action. The fighter may perform

| this action even if they are not Ready.

|",,,
../TacticsCards/CORPSE GRINDERS/Bountiful Feast.png,Bountiful Feast,Corpse Grinders Tactics,"| Play immediately after a fighter in your gang
performs a Coup de Grace (Simple) action.
Remove anumber of Flesh Wounds from |
the fighter equal to the Wounds
characteristic of the enemy fighter taken

Out of Action by the Coup de Grace.",,,
../TacticsCards/CORPSE GRINDERS/Frenzy.png,| Frenzy,Corpse Grinders Tactics,"Play this card instead of activating a fighter.
Choose a single Ready enemy fighter within 9""
and line of sight of one of your fighters. The
chosen fighter must make a Cool check. If they
fail, they lose their Ready marker and must
immediately make a Move (Simple) action,
moving as if subject to the Broken condition.",,,
../TacticsCards/CORPSE GRINDERS/Infamous Butcher.png,Infamous Butcher,Corpse Grinders Tactics,"| Play this card at the start of the Deployment
step of the pre-battle sequence, before any
fighters have been deployed.

For the duration of this battle, one Corpse
Grinder fighter of your choice gains the
Fearsome skill.",,,
../TacticsCards/CORPSE GRINDERS/Reign of Blood.png,Reign of Blood,Corpse Grinders Tactics,"Play this card when a Leader or Champion in
your gang takes an enemy fighter Out of Action
with a weapon with the Melee trait.

Tuck this card under the fighter's card. When
this fighter makes a group activation, they may
include one more fighter than normal as part of
the group.",,,
../TacticsCards/CORPSE GRINDERS/Rend and Tear.png,Rend and Tear!,Corpse Grinders Tactics,"| Play this card at the start of any Action
phase.

Until the End phase of this round, all |
weapons with the Melee trait used by
friendly fighters gain the Rending trait.",,,
../TacticsCards/CORPSE GRINDERS/Savage Brutality.png,Savage Brutality,Corpse Grinders Tactics,"Play when an enemy fighter is Seriously Injured
or taken Out of Action by a Melee attack.

All enemy fighters within 12"" that can draw line
of sight to the target must take Nerve tests. Any
fighters not within 3"" become Broken as normal
if they fail, but automatically rally in the End
phase of the round.",,,
../TacticsCards/CORPSE GRINDERS/Scent of Blood.png,Scent of Blood,Corpse Grinders Tactics,"| Play this card when a fighter in your gang is
taken Out of Action.
Choose a friendly Standing and Engaged |
fighter within 9"" and line of sight of the
fighter taken Out of Action. They may
immediately make a Fight (Basic) action,
even if they are not Ready.",,,
../TacticsCards/CORPSE GRINDERS/The Red Hunt.png,The Red Hunt,Corpse Grinders Tactics,"| Play this card during any Action phase, after
Fleeing the battlefield but before Activate
Fighters.

Each friendly fighter Engaged with an
enemy fighter can take a Reaction attack;
they do not need to make an Initiative check.",,,
../TacticsCards/CORPSE GRINDERS/Visions of Slaughter.png,Visions of Slaughter,Corpse Grinders Tactics,"| Play this card at the start of any Action phase.
|

Until the End phase of this round, fighters
from your gang treat the Charge action as __
(Basic) rather than (Double). However,

until the End phase of this turn, any fighter
from your gang that performs a Charge

| (Basic) action reduces their Weapon Skill
characteristic by -1.",,,
../TacticsCards/CORPSE GRINDERS/Whirlwind of Blows.png,Whirlwind of Blows,Corpse Grinders Tactics,"| Play this card when activating a fighter in
your gang that is Standing and Engaged.

For the duration of this fighter's |
activation, increase their Attacks
characteristic by 1 for each enemy fighter
they are Engaged with.",,,
../TacticsCards/DELAQUE/A Debt to Pay.png,A Debt to Pay,Delaque Tactics,"Play this gang tactic at the start of the battle, afte
both sides have deployed, but before the first
round. Choose one enemy Ganger or Juve. That
fighter owes a debt to your gang and is not about
to anger their creditors. For the duration of this
battle, that fighter must take a Willpower check
before they can make a Charge (Double) action
targeting an enemy Delaque fighter. If the check
is failed, the fighter cannot perform the action
and must declare another. If the check is passed,
the fighter may perform the action as normal.",,,
../TacticsCards/DELAQUE/Assassins.png,Assassins,Delaque Tactics,"Play instead of activating a fighter. |
For the remainder of this round, any ranged —
attacks made by a fighter that is outside of
the target's vision are gains +2 to hit.",,,
